trial_id,full_phrase,full_phrase_language,point_of_disambiguation,target_side,lab_trial_id,aoi_region_set_id,dataset_id,distractor_id,target_id
0,NA,eng,179.4,right,1_right_apple,0,0,1,0
1,NA,eng,179.4,left,2_left_apple,0,0,1,0
2,NA,eng,179.4,right,1_right_bottle,0,0,6,7
3,NA,eng,179.4,left,2_left_bottle,0,0,6,7
4,NA,eng,179.4,right,1_right_car,0,0,11,10
5,NA,eng,179.4,left,2_left_car,0,0,11,10
6,NA,eng,179.4,left,1_left_carrot,0,0,13,12
7,NA,eng,179.4,right,2_right_carrot,0,0,13,12
8,NA,eng,179.4,right,1_right_cat,0,0,4,5
9,NA,eng,179.4,left,2_left_cat,0,0,4,5
10,NA,eng,179.4,left,1_left_cookie,0,0,2,3
11,NA,eng,179.4,right,2_right_cookie,0,0,2,3
12,NA,eng,179.4,left,1_left_cup,0,0,17,16
13,NA,eng,179.4,right,2_right_cup,0,0,17,16
14,NA,eng,179.4,left,1_left_dax,0,0,16,17
15,NA,eng,179.4,right,2_right_dax,0,0,16,17
16,NA,eng,179.4,left,1_left_dofa,0,0,19,18
17,NA,eng,179.4,right,2_right_dofa,0,0,19,18
18,NA,eng,179.4,left,1_left_dog,0,0,8,9
19,NA,eng,179.4,right,2_right_dog,0,0,8,9
20,NA,eng,179.4,right,1_right_fep,0,0,10,11
21,NA,eng,179.4,left,2_left_fep,0,0,10,11
22,NA,eng,179.4,right,1_right_frog,0,0,21,20
23,NA,eng,179.4,left,2_left_frog,0,0,21,20
24,NA,eng,179.4,right,1_right_hammer,0,0,23,22
25,NA,eng,179.4,left,2_left_hammer,0,0,23,22
26,NA,eng,179.4,left,1_left_horse,0,0,14,15
27,NA,eng,179.4,right,2_right_horse,0,0,14,15
28,NA,eng,179.4,left,1_left_kreeb,0,0,25,24
29,NA,eng,179.4,right,2_right_kreeb,0,0,25,24
30,NA,eng,179.4,right,1_right_lion,0,0,27,26
31,NA,eng,179.4,left,2_left_lion,0,0,27,26
32,NA,eng,179.4,left,1_left_modi,0,0,29,28
33,NA,eng,179.4,right,2_right_modi,0,0,29,28
34,NA,eng,179.4,right,1_right_monkey,0,0,31,30
35,NA,eng,179.4,left,2_left_monkey,0,0,31,30
36,NA,eng,179.4,right,1_right_pifo,0,0,20,21
37,NA,eng,179.4,left,2_left_pifo,0,0,20,21
38,NA,eng,179.4,left,1_left_shoe,0,0,24,25
39,NA,eng,179.4,right,2_right_shoe,0,0,24,25
40,NA,eng,179.4,left,1_left_shovel,0,0,28,29
41,NA,eng,179.4,right,2_right_shovel,0,0,28,29
42,NA,eng,179.4,right,1_right_toma,0,0,30,31
43,NA,eng,179.4,left,2_left_toma,0,0,30,31
44,NA,eng,179.4,left,1_left_train,0,0,18,19
45,NA,eng,179.4,right,2_right_train,0,0,18,19
46,NA,eng,179.4,right,1_right_wug,0,0,0,1
47,NA,eng,179.4,left,2_left_wug,0,0,0,1
