lab_age,subject_id,administration_id,dataset_id,monitor_size_x,monitor_size_y,lab_age_units,age,tracker,sample_rate,coding_method
17,0,0,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,1,1,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,2,2,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,3,3,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,4,4,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,5,5,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,6,6,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,7,7,0,NA,NA,months,15,video_camera,30,manual gaze coding
17,8,8,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,9,9,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,10,10,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,11,11,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,12,12,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,13,13,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,14,14,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,15,15,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,16,16,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,17,17,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,18,18,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,19,19,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,20,20,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,21,21,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,22,22,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,23,23,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,24,24,0,NA,NA,months,17,video_camera,30,manual gaze coding
15,25,25,0,NA,NA,months,15,video_camera,30,manual gaze coding
17,26,26,0,NA,NA,months,17,video_camera,30,manual gaze coding
15,27,27,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,28,28,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,29,29,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,30,30,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,31,31,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,32,32,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,33,33,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,34,34,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,35,35,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,36,36,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,37,37,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,38,38,0,NA,NA,months,17,video_camera,30,manual gaze coding
15,39,39,0,NA,NA,months,15,video_camera,30,manual gaze coding
13,40,40,0,NA,NA,months,13,video_camera,30,manual gaze coding
15,41,41,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,42,42,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,43,43,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,44,44,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,45,45,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,46,46,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,47,47,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,48,48,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,49,49,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,50,50,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,51,51,0,NA,NA,months,15,video_camera,30,manual gaze coding
17,52,52,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,53,53,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,54,54,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,55,55,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,56,56,0,NA,NA,months,15,video_camera,30,manual gaze coding
17,57,57,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,58,58,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,59,59,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,60,60,0,NA,NA,months,15,video_camera,30,manual gaze coding
14,61,61,0,NA,NA,months,14,video_camera,30,manual gaze coding
15,62,62,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,63,63,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,64,64,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,65,65,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,66,66,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,67,67,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,68,68,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,2,69,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,4,70,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,7,71,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,10,72,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,11,73,0,NA,NA,months,16,video_camera,30,manual gaze coding
18,32,74,0,NA,NA,months,18,video_camera,30,manual gaze coding
17,35,75,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,39,76,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,41,77,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,43,78,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,44,79,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,54,80,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,55,81,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,60,82,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,62,83,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,66,84,0,NA,NA,months,17,video_camera,30,manual gaze coding
17,0,85,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,1,86,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,2,87,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,3,88,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,4,89,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,5,90,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,6,91,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,7,92,0,NA,NA,months,15,video_camera,30,manual gaze coding
17,8,93,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,9,94,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,10,95,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,11,96,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,12,97,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,13,98,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,14,99,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,15,100,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,16,101,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,17,102,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,18,103,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,19,104,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,20,105,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,21,106,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,22,107,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,23,108,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,24,109,0,NA,NA,months,17,video_camera,30,manual gaze coding
15,25,110,0,NA,NA,months,15,video_camera,30,manual gaze coding
17,26,111,0,NA,NA,months,17,video_camera,30,manual gaze coding
15,27,112,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,28,113,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,29,114,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,30,115,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,31,116,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,32,117,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,33,118,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,34,119,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,35,120,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,36,121,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,37,122,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,38,123,0,NA,NA,months,17,video_camera,30,manual gaze coding
15,39,124,0,NA,NA,months,15,video_camera,30,manual gaze coding
13,40,125,0,NA,NA,months,13,video_camera,30,manual gaze coding
15,41,126,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,42,127,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,43,128,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,44,129,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,45,130,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,46,131,0,NA,NA,months,16,video_camera,30,manual gaze coding
17,47,132,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,48,133,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,49,134,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,50,135,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,51,136,0,NA,NA,months,15,video_camera,30,manual gaze coding
17,52,137,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,53,138,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,54,139,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,55,140,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,56,141,0,NA,NA,months,15,video_camera,30,manual gaze coding
17,57,142,0,NA,NA,months,17,video_camera,30,manual gaze coding
16,58,143,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,59,144,0,NA,NA,months,15,video_camera,30,manual gaze coding
15,60,145,0,NA,NA,months,15,video_camera,30,manual gaze coding
14,61,146,0,NA,NA,months,14,video_camera,30,manual gaze coding
15,62,147,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,63,148,0,NA,NA,months,16,video_camera,30,manual gaze coding
16,64,149,0,NA,NA,months,16,video_camera,30,manual gaze coding
15,65,150,0,NA,NA,months,15,video_camera,30,manual gaze coding
16,66,151,0,NA,NA,months,16,video_camera,30,manual gaze coding
